Entry	Entry Name	Organism	Length	Gene Names (primary)	Protein families
O75155	CAND2_HUMAN	Homo sapiens (Human)	1236	CAND2	CAND family
O75159	SOCS5_HUMAN	Homo sapiens (Human)	536	SOCS5	
O75161	NPHP4_HUMAN	Homo sapiens (Human)	1426	NPHP4	NPHP4 family
O75164	KDM4A_HUMAN	Homo sapiens (Human)	1064	KDM4A	JHDM3 histone demethylase family
O75165	DJC13_HUMAN	Homo sapiens (Human)	2243	DNAJC13	
O75167	PHAR2_HUMAN	Homo sapiens (Human)	634	PHACTR2	Phosphatase and actin regulator family
O75170	PP6R2_HUMAN	Homo sapiens (Human)	966	PPP6R2	SAPS family
O75173	ATS4_HUMAN	Homo sapiens (Human)	837	ADAMTS4	
O75175	CNOT3_HUMAN	Homo sapiens (Human)	753	CNOT3	CNOT2/3/5 family
O75177	CREST_HUMAN	Homo sapiens (Human)	396	SS18L1	SS18 family
O75179	ANR17_HUMAN	Homo sapiens (Human)	2603	ANKRD17	
O75182	SIN3B_HUMAN	Homo sapiens (Human)	1162	SIN3B	
O75185	AT2C2_HUMAN	Homo sapiens (Human)	946	ATP2C2	Cation transport ATPase (P-type) (TC 3.A.3) family
O75190	DNJB6_HUMAN	Homo sapiens (Human)	326	DNAJB6	
O75191	XYLB_HUMAN	Homo sapiens (Human)	536	XYLB	FGGY kinase family
O75192	PX11A_HUMAN	Homo sapiens (Human)	247	PEX11A	Peroxin-11 family
O75197	LRP5_HUMAN	Homo sapiens (Human)	1615	LRP5	LDLR family
O75204	TM127_HUMAN	Homo sapiens (Human)	238	TMEM127	TMEM127 family
O75208	COQ9_HUMAN	Homo sapiens (Human)	318	COQ9	COQ9 family
O75223	GGCT_HUMAN	Homo sapiens (Human)	188	GGCT	Gamma-glutamylcyclotransferase family
O75251	NDUS7_HUMAN	Homo sapiens (Human)	213	NDUFS7	Complex I 20 kDa subunit family
O75293	GA45B_HUMAN	Homo sapiens (Human)	160	GADD45B	GADD45 family
O75298	RTN2_HUMAN	Homo sapiens (Human)	545	RTN2	
O75306	NDUS2_HUMAN	Homo sapiens (Human)	463	NDUFS2	Complex I 49 kDa subunit family
O75309	CAD16_HUMAN	Homo sapiens (Human)	829	CDH16	
O75311	GLRA3_HUMAN	Homo sapiens (Human)	464	GLRA3	Ligand-gated ion channel (TC 1.A.9) family
O75312	ZPR1_HUMAN	Homo sapiens (Human)	459	ZPR1	ZPR1 family
O75317	UBP12_HUMAN	Homo sapiens (Human)	370	USP12	Peptidase C19 family
O75319	DUS11_HUMAN	Homo sapiens (Human)	377	DUSP11	Protein-tyrosine phosphatase family
O75323	NIPS2_HUMAN	Homo sapiens (Human)	286	NIPSNAP2	NipSnap family
O75324	SNN_HUMAN	Homo sapiens (Human)	88	SNN	Stannin family
O75326	SEM7A_HUMAN	Homo sapiens (Human)	666	SEMA7A	Semaphorin family
O75330	HMMR_HUMAN	Homo sapiens (Human)	724	HMMR	
O75334	LIPA2_HUMAN	Homo sapiens (Human)	1257	PPFIA2	Liprin family
O75339	CILP1_HUMAN	Homo sapiens (Human)	1184	CILP	
O75340	PDCD6_HUMAN	Homo sapiens (Human)	191	PDCD6	
O75342	LX12B_HUMAN	Homo sapiens (Human)	701	ALOX12B	Lipoxygenase family
O75343	GCYB2_HUMAN	Homo sapiens (Human)	617	GUCY1B2	Adenylyl cyclase class-4/guanylyl cyclase family
O75344	FKBP6_HUMAN	Homo sapiens (Human)	327	FKBP6	FKBP6 family
O75347	TBCA_HUMAN	Homo sapiens (Human)	108	TBCA	TBCA family
O75348	VATG1_HUMAN	Homo sapiens (Human)	118	ATP6V1G1	V-ATPase G subunit family
O75351	VPS4B_HUMAN	Homo sapiens (Human)	444	VPS4B	AAA ATPase family
O75354	ENTP6_HUMAN	Homo sapiens (Human)	484	ENTPD6	GDA1/CD39 NTPase family
O75355	ENTP3_HUMAN	Homo sapiens (Human)	529	ENTPD3	GDA1/CD39 NTPase family
O75356	ENTP5_HUMAN	Homo sapiens (Human)	428	ENTPD5	GDA1/CD39 NTPase family
O75360	PROP1_HUMAN	Homo sapiens (Human)	226	PROP1	Paired homeobox family
O75362	ZN217_HUMAN	Homo sapiens (Human)	1048	ZNF217	Krueppel C2H2-type zinc-finger protein family
O75364	PITX3_HUMAN	Homo sapiens (Human)	302	PITX3	Paired homeobox family
O75365	TP4A3_HUMAN	Homo sapiens (Human)	173	PTP4A3	Protein-tyrosine phosphatase family
O75366	AVIL_HUMAN	Homo sapiens (Human)	819	AVIL	Villin/gelsolin family
O75367	H2AY_HUMAN	Homo sapiens (Human)	369	MACROH2A1	Histone H2A family
O75368	SH3L1_HUMAN	Homo sapiens (Human)	114	SH3BGRL	SH3BGR family
O75369	FLNB_HUMAN	Homo sapiens (Human)	2602	FLNB	Filamin family
O75376	NCOR1_HUMAN	Homo sapiens (Human)	2440	NCOR1	N-CoR nuclear receptor corepressors family
O75379	VAMP4_HUMAN	Homo sapiens (Human)	141	VAMP4	Synaptobrevin family
O75381	PEX14_HUMAN	Homo sapiens (Human)	377	PEX14	Peroxin-14 family
O75382	TRIM3_HUMAN	Homo sapiens (Human)	744	TRIM3	TRIM/RBCC family
O75385	ULK1_HUMAN	Homo sapiens (Human)	1050	ULK1	Protein kinase superfamily
O75386	TULP3_HUMAN	Homo sapiens (Human)	442	TULP3	TUB family
O75387	LAT3_HUMAN	Homo sapiens (Human)	559	SLC43A1	SLC43A transporter (TC 2.A.1.44) family
O75390	CISY_HUMAN	Homo sapiens (Human)	466	CS	Citrate synthase family
O75396	SC22B_HUMAN	Homo sapiens (Human)	215	SEC22B	Synaptobrevin family
O75398	DEAF1_HUMAN	Homo sapiens (Human)	565	DEAF1	
O75400	PR40A_HUMAN	Homo sapiens (Human)	957	PRPF40A	PRPF40 family
O75409	HYPM_HUMAN	Homo sapiens (Human)	117	H2AP	
O75410	TACC1_HUMAN	Homo sapiens (Human)	805	TACC1	TACC family
O75414	NDK6_HUMAN	Homo sapiens (Human)	186	NME6	NDK family
O75417	DPOLQ_HUMAN	Homo sapiens (Human)	2590	POLQ	DNA polymerase type-A family
O75419	CDC45_HUMAN	Homo sapiens (Human)	566	CDC45	CDC45 family
O75420	GGYF1_HUMAN	Homo sapiens (Human)	1035	GIGYF1	GIGYF family
O75425	MSPD3_HUMAN	Homo sapiens (Human)	235	MOSPD3	
O75427	LRCH4_HUMAN	Homo sapiens (Human)	683	LRCH4	
O75431	MTX2_HUMAN	Homo sapiens (Human)	263	MTX2	Metaxin family
O75436	VP26A_HUMAN	Homo sapiens (Human)	327	VPS26A	VPS26 family
O75438	NDUB1_HUMAN	Homo sapiens (Human)	58	NDUFB1	Complex I NDUFB1 subunit family
O75439	MPPB_HUMAN	Homo sapiens (Human)	489	PMPCB	Peptidase M16 family
O75443	TECTA_HUMAN	Homo sapiens (Human)	2155	TECTA	
O75444	MAF_HUMAN	Homo sapiens (Human)	373	MAF	BZIP family
O75445	USH2A_HUMAN	Homo sapiens (Human)	5202	USH2A	
O75446	SAP30_HUMAN	Homo sapiens (Human)	220	SAP30	SAP30 family
O75448	MED24_HUMAN	Homo sapiens (Human)	989	MED24	Mediator complex subunit 24 family
O75449	KTNA1_HUMAN	Homo sapiens (Human)	491	KATNA1	AAA ATPase family
O75452	RDH16_HUMAN	Homo sapiens (Human)	317	RDH16	Short-chain dehydrogenases/reductases (SDR) family
O75460	ERN1_HUMAN	Homo sapiens (Human)	977	ERN1	Protein kinase superfamily
O75461	E2F6_HUMAN	Homo sapiens (Human)	281	E2F6	E2F/DP family
O75462	CRLF1_HUMAN	Homo sapiens (Human)	422	CRLF1	Type I cytokine receptor family
O75469	NR1I2_HUMAN	Homo sapiens (Human)	434	NR1I2	Nuclear hormone receptor family
O75473	LGR5_HUMAN	Homo sapiens (Human)	907	LGR5	G-protein coupled receptor 1 family
O75475	PSIP1_HUMAN	Homo sapiens (Human)	530	PSIP1	HDGF family
O75477	ERLN1_HUMAN	Homo sapiens (Human)	348	ERLIN1	Band 7/mec-2 family
O75478	TAD2A_HUMAN	Homo sapiens (Human)	443	TADA2A	
O75486	SUPT3_HUMAN	Homo sapiens (Human)	317	SUPT3H	SPT3 family
O75487	GPC4_HUMAN	Homo sapiens (Human)	556	GPC4	Glypican family
O75489	NDUS3_HUMAN	Homo sapiens (Human)	264	NDUFS3	Complex I 30 kDa subunit family
O75494	SRS10_HUMAN	Homo sapiens (Human)	262	SRSF10	Splicing factor SR family
O75496	GEMI_HUMAN	Homo sapiens (Human)	209	GMNN	Geminin family
O75503	CLN5_HUMAN	Homo sapiens (Human)	358	CLN5	CLN5 family
O75506	HSBP1_HUMAN	Homo sapiens (Human)	76	HSBP1	HSBP1 family
O75508	CLD11_HUMAN	Homo sapiens (Human)	207	CLDN11	Claudin family
O75509	TNR21_HUMAN	Homo sapiens (Human)	655	TNFRSF21	
O75521	ECI2_HUMAN	Homo sapiens (Human)	394	ECI2	Enoyl-CoA hydratase/isomerase family
O75525	KHDR3_HUMAN	Homo sapiens (Human)	346	KHDRBS3	KHDRBS family
O75528	TADA3_HUMAN	Homo sapiens (Human)	432	TADA3	NGG1 family
O75529	TAF5L_HUMAN	Homo sapiens (Human)	589	TAF5L	WD repeat TAF5 family
O75530	EED_HUMAN	Homo sapiens (Human)	441	EED	WD repeat ESC family
O75531	BAF_HUMAN	Homo sapiens (Human)	89	BANF1	BAF family
O75533	SF3B1_HUMAN	Homo sapiens (Human)	1304	SF3B1	SF3B1 family
O75534	CSDE1_HUMAN	Homo sapiens (Human)	798	CSDE1	
O75553	DAB1_HUMAN	Homo sapiens (Human)	588	DAB1	
O75554	WBP4_HUMAN	Homo sapiens (Human)	376	WBP4	
O75556	SG2A1_HUMAN	Homo sapiens (Human)	95	SCGB2A1	Secretoglobin family
O75558	STX11_HUMAN	Homo sapiens (Human)	287	STX11	Syntaxin family
O75563	SKAP2_HUMAN	Homo sapiens (Human)	359	SKAP2	SKAP family
O75564	JERKY_HUMAN	Homo sapiens (Human)	556	JRK	Tigger transposable element derived protein family
O75569	PRKRA_HUMAN	Homo sapiens (Human)	313	PRKRA	PRKRA family
O75575	RPC9_HUMAN	Homo sapiens (Human)	148	CRCP	Eukaryotic RPC9 RNA polymerase subunit family
O75578	ITA10_HUMAN	Homo sapiens (Human)	1167	ITGA10	Integrin alpha chain family
O75581	LRP6_HUMAN	Homo sapiens (Human)	1613	LRP6	LDLR family
O75582	KS6A5_HUMAN	Homo sapiens (Human)	802	RPS6KA5	Protein kinase superfamily
O75586	MED6_HUMAN	Homo sapiens (Human)	246	MED6	Mediator complex subunit 6 family
O75592	MYCB2_HUMAN	Homo sapiens (Human)	4678	MYCBP2	RING-Cys relay (RCR) family
O75593	FOXH1_HUMAN	Homo sapiens (Human)	365	FOXH1	
O75594	PGRP1_HUMAN	Homo sapiens (Human)	196	PGLYRP1	N-acetylmuramoyl-L-alanine amidase 2 family
O75600	KBL_HUMAN	Homo sapiens (Human)	419	GCAT	Class-II pyridoxal-phosphate-dependent aminotransferase family
O75602	SPAG6_HUMAN	Homo sapiens (Human)	509	SPAG6	
O75603	GCM2_HUMAN	Homo sapiens (Human)	506	GCM2	
O75604	UBP2_HUMAN	Homo sapiens (Human)	605	USP2	Peptidase C19 family
O75607	NPM3_HUMAN	Homo sapiens (Human)	178	NPM3	Nucleoplasmin family
O75608	LYPA1_HUMAN	Homo sapiens (Human)	230	LYPLA1	AB hydrolase superfamily
O75610	LFTY1_HUMAN	Homo sapiens (Human)	366	LEFTY1	TGF-beta family
O75616	ERAL1_HUMAN	Homo sapiens (Human)	437	ERAL1	TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily
O75618	DEDD_HUMAN	Homo sapiens (Human)	318	DEDD	
O75626	PRDM1_HUMAN	Homo sapiens (Human)	825	PRDM1	Class V-like SAM-binding methyltransferase superfamily
O75629	CREG1_HUMAN	Homo sapiens (Human)	220	CREG1	CREG family
O75631	UPK3A_HUMAN	Homo sapiens (Human)	287	UPK3A	Uroplakin-3 family
O75636	FCN3_HUMAN	Homo sapiens (Human)	299	FCN3	Ficolin lectin family
O75638	CTAG2_HUMAN	Homo sapiens (Human)	210	CTAG2	CTAG/PCC1 family
O75643	U520_HUMAN	Homo sapiens (Human)	2136	SNRNP200	Helicase family
O75648	MTU1_HUMAN	Homo sapiens (Human)	421	TRMU	MnmA/TRMU family
O75663	TIPRL_HUMAN	Homo sapiens (Human)	272	TIPRL	TIP41 family
O75665	OFD1_HUMAN	Homo sapiens (Human)	1012	OFD1	OFD1 family
O75674	TM1L1_HUMAN	Homo sapiens (Human)	476	TOM1L1	TOM1 family
O75676	KS6A4_HUMAN	Homo sapiens (Human)	772	RPS6KA4	Protein kinase superfamily
O75677	RFPL1_HUMAN	Homo sapiens (Human)	317	RFPL1	
O75679	RFPL3_HUMAN	Homo sapiens (Human)	317	RFPL3	
O75688	PPM1B_HUMAN	Homo sapiens (Human)	479	PPM1B	PP2C family
O75689	ADAP1_HUMAN	Homo sapiens (Human)	374	ADAP1	
O75691	UTP20_HUMAN	Homo sapiens (Human)	2785	UTP20	UTP20 family
O75694	NU155_HUMAN	Homo sapiens (Human)	1391	NUP155	Non-repetitive/WGA-negative nucleoporin family
O75695	XRP2_HUMAN	Homo sapiens (Human)	350	RP2	TBCC family
O75712	CXB3_HUMAN	Homo sapiens (Human)	270	GJB3	Connexin family
O75716	STK16_HUMAN	Homo sapiens (Human)	305	STK16	Protein kinase superfamily
O75717	WDHD1_HUMAN	Homo sapiens (Human)	1129	WDHD1	
O75718	CRTAP_HUMAN	Homo sapiens (Human)	401	CRTAP	Leprecan family
O75746	S2512_HUMAN	Homo sapiens (Human)	678	SLC25A12	Mitochondrial carrier (TC 2.A.29) family
O75747	P3C2G_HUMAN	Homo sapiens (Human)	1445	PIK3C2G	PI3/PI4-kinase family
O75751	S22A3_HUMAN	Homo sapiens (Human)	556	SLC22A3	Major facilitator (TC 2.A.1) superfamily
O75752	B3GL1_HUMAN	Homo sapiens (Human)	331	B3GALNT1	Glycosyltransferase 31 family
O75762	TRPA1_HUMAN	Homo sapiens (Human)	1119	TRPA1	Transient receptor (TC 1.A.4) family
O75771	RA51D_HUMAN	Homo sapiens (Human)	328	RAD51D	RecA family
O75781	PALM_HUMAN	Homo sapiens (Human)	387	PALM	Paralemmin family
O75783	RHBL1_HUMAN	Homo sapiens (Human)	438	RHBDL1	Peptidase S54 family
O75787	RENR_HUMAN	Homo sapiens (Human)	350	ATP6AP2	
O75791	GRAP2_HUMAN	Homo sapiens (Human)	330	GRAP2	GRB2/sem-5/DRK family
O75792	RNH2A_HUMAN	Homo sapiens (Human)	299	RNASEH2A	RNase HII family
O75795	UDB17_HUMAN	Homo sapiens (Human)	530	UGT2B17	UDP-glycosyltransferase family
O75800	ZMY10_HUMAN	Homo sapiens (Human)	440	ZMYND10	ZMYND10 family
O75807	PR15A_HUMAN	Homo sapiens (Human)	674	PPP1R15A	PPP1R15 family
O75808	CAN15_HUMAN	Homo sapiens (Human)	1086	CAPN15	Peptidase C2 family
O75815	BCAR3_HUMAN	Homo sapiens (Human)	825	BCAR3	
O75817	POP7_HUMAN	Homo sapiens (Human)	140	POP7	Histone-like Alba family
O75818	RPP40_HUMAN	Homo sapiens (Human)	363	RPP40	
O75821	EIF3G_HUMAN	Homo sapiens (Human)	320	EIF3G	EIF-3 subunit G family
O75822	EIF3J_HUMAN	Homo sapiens (Human)	258	EIF3J	EIF-3 subunit J family
O75828	CBR3_HUMAN	Homo sapiens (Human)	277	CBR3	Short-chain dehydrogenases/reductases (SDR) family
O75829	CNMD_HUMAN	Homo sapiens (Human)	334	CNMD	Chondromodulin-1 family
O75832	PSD10_HUMAN	Homo sapiens (Human)	226	PSMD10	
O75838	CIB2_HUMAN	Homo sapiens (Human)	187	CIB2	
O75840	KLF7_HUMAN	Homo sapiens (Human)	302	KLF7	Krueppel C2H2-type zinc-finger protein family
O75841	UPK1B_HUMAN	Homo sapiens (Human)	260	UPK1B	Tetraspanin (TM4SF) family
O75843	AP1G2_HUMAN	Homo sapiens (Human)	785	AP1G2	Adaptor complexes large subunit family
O75844	FACE1_HUMAN	Homo sapiens (Human)	475	ZMPSTE24	Peptidase M48A family
O75845	SC5D_HUMAN	Homo sapiens (Human)	299	SC5D	Sterol desaturase family
O75864	PPR37_HUMAN	Homo sapiens (Human)	691	PPP1R37	PPP1R37 family
O75865	TPC6A_HUMAN	Homo sapiens (Human)	159	TRAPPC6A	TRAPP small subunits family
O75871	CEAM4_HUMAN	Homo sapiens (Human)	244	CEACAM4	Immunoglobulin superfamily
O75874	IDHC_HUMAN	Homo sapiens (Human)	414	IDH1	Isocitrate and isopropylmalate dehydrogenases family
O75879	GATB_HUMAN	Homo sapiens (Human)	557	GATB	GatB/GatE family
O75880	SCO1_HUMAN	Homo sapiens (Human)	301	SCO1	SCO1/2 family
O75881	CP7B1_HUMAN	Homo sapiens (Human)	506	CYP7B1	Cytochrome P450 family
O75882	ATRN_HUMAN	Homo sapiens (Human)	1429	ATRN	
O75884	RBBP9_HUMAN	Homo sapiens (Human)	186	RBBP9	RBBP9 family
O75886	STAM2_HUMAN	Homo sapiens (Human)	525	STAM2	STAM family
O75888	TNF13_HUMAN	Homo sapiens (Human)	250	TNFSF13	Tumor necrosis factor family
O75891	AL1L1_HUMAN	Homo sapiens (Human)	902	ALDH1L1	GART family
O75896	TUSC2_HUMAN	Homo sapiens (Human)	110	TUSC2	TUSC2 family
O75897	ST1C4_HUMAN	Homo sapiens (Human)	302	SULT1C4	Sulfotransferase 1 family
O75899	GABR2_HUMAN	Homo sapiens (Human)	941	GABBR2	G-protein coupled receptor 3 family
O75900	MMP23_HUMAN	Homo sapiens (Human)	390	MMP23B	Peptidase M10A family
O75907	DGAT1_HUMAN	Homo sapiens (Human)	488	DGAT1	Membrane-bound acyltransferase family
O75908	SOAT2_HUMAN	Homo sapiens (Human)	522	SOAT2	Membrane-bound acyltransferase family
O75909	CCNK_HUMAN	Homo sapiens (Human)	580	CCNK	Cyclin family
O75911	DHRS3_HUMAN	Homo sapiens (Human)	302	DHRS3	Short-chain dehydrogenases/reductases (SDR) family
O75912	DGKI_HUMAN	Homo sapiens (Human)	1065	DGKI	Eukaryotic diacylglycerol kinase family
O75914	PAK3_HUMAN	Homo sapiens (Human)	559	PAK3	Protein kinase superfamily
O75915	PRAF3_HUMAN	Homo sapiens (Human)	188	ARL6IP5	PRA1 family
O75916	RGS9_HUMAN	Homo sapiens (Human)	674	RGS9	
O75920	SERF1_HUMAN	Homo sapiens (Human)	110	SERF1A
O75923	DYSF_HUMAN	Homo sapiens (Human)	2080	DYSF	Ferlin family
O75925	PIAS1_HUMAN	Homo sapiens (Human)	651	PIAS1	PIAS family
O75928	PIAS2_HUMAN	Homo sapiens (Human)	621	PIAS2	PIAS family
O75934	SPF27_HUMAN	Homo sapiens (Human)	225	BCAS2	SPF27 family
O75935	DCTN3_HUMAN	Homo sapiens (Human)	186	DCTN3	Dynactin subunit 3 family
O75936	BODG_HUMAN	Homo sapiens (Human)	387	BBOX1	Gamma-BBH/TMLD family
O75937	DNJC8_HUMAN	Homo sapiens (Human)	253	DNAJC8	
O75940	SPF30_HUMAN	Homo sapiens (Human)	238	SMNDC1	SMN family
O75943	RAD17_HUMAN	Homo sapiens (Human)	681	RAD17	Rad17/RAD24 family
O75951	LYZL6_HUMAN	Homo sapiens (Human)	148	LYZL6	Glycosyl hydrolase 22 family
O75952	CABYR_HUMAN	Homo sapiens (Human)	493	CABYR	
O75955	FLOT1_HUMAN	Homo sapiens (Human)	427	FLOT1	Band 7/mec-2 family
O75962	TRIO_HUMAN	Homo sapiens (Human)	3097	TRIO	Protein kinase superfamily
O75969	AKAP3_HUMAN	Homo sapiens (Human)	853	AKAP3	AKAP110 family
O75970	MPDZ_HUMAN	Homo sapiens (Human)	2070	MPDZ	
O75971	SNPC5_HUMAN	Homo sapiens (Human)	98	SNAPC5	
O75976	CBPD_HUMAN	Homo sapiens (Human)	1380	CPD	Peptidase M14 family
O76003	GLRX3_HUMAN	Homo sapiens (Human)	335	GLRX3	
O76011	KRT34_HUMAN	Homo sapiens (Human)	436	KRT34	Intermediate filament family
O76013	KRT36_HUMAN	Homo sapiens (Human)	467	KRT36	Intermediate filament family
O76014	KRT37_HUMAN	Homo sapiens (Human)	449	KRT37	Intermediate filament family
O76015	KRT38_HUMAN	Homo sapiens (Human)	456	KRT38	Intermediate filament family
O76021	RL1D1_HUMAN	Homo sapiens (Human)	490	RSL1D1	Universal ribosomal protein uL1 family
O76024	WFS1_HUMAN	Homo sapiens (Human)	890	WFS1	
O76027	ANXA9_HUMAN	Homo sapiens (Human)	345	ANXA9	Annexin family
O76031	CLPX_HUMAN	Homo sapiens (Human)	633	CLPX	ClpX chaperone family
O76036	NCTR1_HUMAN	Homo sapiens (Human)	304	NCR1	Natural cytotoxicity receptor (NCR) family
O76039	CDKL5_HUMAN	Homo sapiens (Human)	960	CDKL5	Protein kinase superfamily
O76041	NEBL_HUMAN	Homo sapiens (Human)	1014	NEBL	
O76050	NEUL1_HUMAN	Homo sapiens (Human)	574	NEURL1	
O76054	S14L2_HUMAN	Homo sapiens (Human)	403	SEC14L2	
O76061	STC2_HUMAN	Homo sapiens (Human)	302	STC2	Stanniocalcin family
O76062	ERG24_HUMAN	Homo sapiens (Human)	418	TM7SF2	ERG4/ERG24 family
O76064	RNF8_HUMAN	Homo sapiens (Human)	485	RNF8	RNF8 family
O76070	SYUG_HUMAN	Homo sapiens (Human)	127	SNCG	Synuclein family
O76071	CIAO1_HUMAN	Homo sapiens (Human)	339	CIAO1	WD repeat CIA1 family
O76074	PDE5A_HUMAN	Homo sapiens (Human)	875	PDE5A	Cyclic nucleotide phosphodiesterase family
O76075	DFFB_HUMAN	Homo sapiens (Human)	338	DFFB	
O76076	CCN5_HUMAN	Homo sapiens (Human)	250	CCN5	CCN family
O76080	ZFAN5_HUMAN	Homo sapiens (Human)	213	ZFAND5	
O76081	RGS20_HUMAN	Homo sapiens (Human)	388	RGS20	
O76082	OCTN2_HUMAN	Homo sapiens (Human)	557	SLC22A5	Major facilitator (TC 2.A.1) superfamily
O76083	PDE9A_HUMAN	Homo sapiens (Human)	593	PDE9A	Cyclic nucleotide phosphodiesterase family
O76090	BEST1_HUMAN	Homo sapiens (Human)	585	BEST1	Bestrophin family
O76093	FGF18_HUMAN	Homo sapiens (Human)	207	FGF18	Heparin-binding growth factors family
O76094	SRP72_HUMAN	Homo sapiens (Human)	671	SRP72	SRP72 family
O76095	JTB_HUMAN	Homo sapiens (Human)	146	JTB	JTB family
O76096	CYTF_HUMAN	Homo sapiens (Human)	145	CST7	Cystatin family
O77932	DXO_HUMAN	Homo sapiens (Human)	396	DXO	DXO/Dom3Z family
O94759	TRPM2_HUMAN	Homo sapiens (Human)	1503	TRPM2	Transient receptor (TC 1.A.4) family
O94760	DDAH1_HUMAN	Homo sapiens (Human)	285	DDAH1	DDAH family
O94761	RECQ4_HUMAN	Homo sapiens (Human)	1208	RECQL4	Helicase family
O94762	RECQ5_HUMAN	Homo sapiens (Human)	991	RECQL5	Helicase family
O94763	RMP_HUMAN	Homo sapiens (Human)	535	URI1	RNA polymerase II subunit 5-mediating protein family
O94766	B3GA3_HUMAN	Homo sapiens (Human)	335	B3GAT3	Glycosyltransferase 43 family
O94768	ST17B_HUMAN	Homo sapiens (Human)	372	STK17B	Protein kinase superfamily
O94769	ECM2_HUMAN	Homo sapiens (Human)	699	ECM2	Small leucine-rich proteoglycan (SLRP) family
O94776	MTA2_HUMAN	Homo sapiens (Human)	668	MTA2	
O94777	DPM2_HUMAN	Homo sapiens (Human)	84	DPM2	DPM2 family
O94778	AQP8_HUMAN	Homo sapiens (Human)	261	AQP8	MIP/aquaporin (TC 1.A.8) family
O94779	CNTN5_HUMAN	Homo sapiens (Human)	1100	CNTN5	Immunoglobulin superfamily
O94782	UBP1_HUMAN	Homo sapiens (Human)	785	USP1	Peptidase C19 family
O94788	AL1A2_HUMAN	Homo sapiens (Human)	518	ALDH1A2	Aldehyde dehydrogenase family
O94804	STK10_HUMAN	Homo sapiens (Human)	968	STK10	Protein kinase superfamily
O94805	ACL6B_HUMAN	Homo sapiens (Human)	426	ACTL6B	Actin family
O94806	KPCD3_HUMAN	Homo sapiens (Human)	890	PRKD3	Protein kinase superfamily
O94808	GFPT2_HUMAN	Homo sapiens (Human)	682	GFPT2	
O94810	RGS11_HUMAN	Homo sapiens (Human)	467	RGS11	
O94811	TPPP_HUMAN	Homo sapiens (Human)	219	TPPP	TPPP family
O94812	BAIP3_HUMAN	Homo sapiens (Human)	1187	BAIAP3	Unc-13 family
O94813	SLIT2_HUMAN	Homo sapiens (Human)	1529	SLIT2	
O94817	ATG12_HUMAN	Homo sapiens (Human)	140	ATG12	ATG12 family
O94818	NOL4_HUMAN	Homo sapiens (Human)	638	NOL4	
O94822	LTN1_HUMAN	Homo sapiens (Human)	1766	LTN1	LTN1 family
O94823	AT10B_HUMAN	Homo sapiens (Human)	1461	ATP10B	Cation transport ATPase (P-type) (TC 3.A.3) family
O94826	TOM70_HUMAN	Homo sapiens (Human)	608	TOMM70	Tom70 family
O94827	PKHG5_HUMAN	Homo sapiens (Human)	1006	PLEKHG5	
O94829	IPO13_HUMAN	Homo sapiens (Human)	963	IPO13	Importin beta family
O94830	DDHD2_HUMAN	Homo sapiens (Human)	711	DDHD2	PA-PLA1 family
O94832	MYO1D_HUMAN	Homo sapiens (Human)	1006	MYO1D	TRAFAC class myosin-kinesin ATPase superfamily
O94842	TOX4_HUMAN	Homo sapiens (Human)	621	TOX4	
O94844	RHBT1_HUMAN	Homo sapiens (Human)	696	RHOBTB1	Small GTPase superfamily
O94850	DEND_HUMAN	Homo sapiens (Human)	711	DDN	
O94851	MICA2_HUMAN	Homo sapiens (Human)	1957	MICAL2	Mical family
O94855	SC24D_HUMAN	Homo sapiens (Human)	1032	SEC24D	SEC23/SEC24 family
O94856	NFASC_HUMAN	Homo sapiens (Human)	1347	NFASC	Immunoglobulin superfamily
O94864	ST65G_HUMAN	Homo sapiens (Human)	414	SUPT7L	
O94868	FCSD2_HUMAN	Homo sapiens (Human)	740	FCHSD2	
O94874	UFL1_HUMAN	Homo sapiens (Human)	794	UFL1	UFL1 family
O94875	SRBS2_HUMAN	Homo sapiens (Human)	1100	SORBS2	
O94876	TMCC1_HUMAN	Homo sapiens (Human)	653	TMCC1	TEX28 family
O94880	PHF14_HUMAN	Homo sapiens (Human)	948	PHF14	
O94885	SASH1_HUMAN	Homo sapiens (Human)	1247	SASH1	
O94886	CSCL1_HUMAN	Homo sapiens (Human)	807	TMEM63A	CSC1 (TC 1.A.17) family
O94887	FARP2_HUMAN	Homo sapiens (Human)	1054	FARP2	
O94888	UBXN7_HUMAN	Homo sapiens (Human)	489	UBXN7	
O94898	LRIG2_HUMAN	Homo sapiens (Human)	1065	LRIG2	
O94900	TOX_HUMAN	Homo sapiens (Human)	526	TOX	High motility group (HMG) box superfamily
O94901	SUN1_HUMAN	Homo sapiens (Human)	785	SUN1	
O94905	ERLN2_HUMAN	Homo sapiens (Human)	339	ERLIN2	Band 7/mec-2 family
O94906	PRP6_HUMAN	Homo sapiens (Human)	941	PRPF6	
O94907	DKK1_HUMAN	Homo sapiens (Human)	266	DKK1	Dickkopf family
O94910	AGRL1_HUMAN	Homo sapiens (Human)	1474	ADGRL1	G-protein coupled receptor 2 family
O94911	ABCA8_HUMAN	Homo sapiens (Human)	1621	ABCA8	ABC transporter superfamily
O94915	FRYL_HUMAN	Homo sapiens (Human)	3013	FRYL	Furry protein family
O94916	NFAT5_HUMAN	Homo sapiens (Human)	1531	NFAT5	
